paid,studytime,failures,absences,Medu,Fedu,G3
no,2,0,6,4,4,6
no,2,0,4,1,1,6
yes,2,3,10,1,1,10
yes,3,0,2,4,2,15
yes,2,0,4,3,3,10
yes,2,0,10,4,3,15
no,2,0,0,2,2,11
no,2,0,6,4,4,6
yes,2,0,0,3,2,19
yes,2,0,0,3,4,15
yes,2,0,0,4,4,9
no,3,0,4,2,1,12
yes,1,0,2,4,4,14
yes,2,0,2,4,3,11
no,3,0,0,2,2,16
no,1,0,4,4,4,14
yes,3,0,6,4,4,14
no,2,0,4,3,3,10
no,1,3,16,3,2,5
yes,1,0,4,4,3,10
no,2,0,0,4,3,15
yes,1,0,0,4,4,15
no,2,0,2,4,2,16
no,2,0,0,2,2,12
yes,3,0,2,2,4,8
yes,1,2,14,2,2,8
yes,1,0,2,2,2,11
yes,1,0,4,4,2,15
no,2,0,4,3,4,11
yes,2,0,16,4,4,11
yes,2,0,0,4,4,12
no,2,0,0,4,4,17
no,2,0,0,4,3,16
no,2,0,0,3,3,12
yes,1,0,0,3,2,15
no,1,0,0,2,3,6
no,3,0,2,4,3,18
no,3,0,7,4,4,15
yes,3,0,2,3,4,11
yes,1,0,8,2,2,13
no,2,1,25,2,2,11
no,1,0,8,4,4,12
no,2,0,2,4,4,18
no,1,0,0,2,2,11
no,2,1,14,2,2,9
yes,2,0,8,4,3,6
no,2,0,12,3,3,11
no,4,0,4,4,3,20
yes,2,0,2,4,2,14
no,2,1,2,4,4,7
yes,2,0,2,2,2,13
yes,2,0,2,4,2,13
no,1,1,6,4,2,10
yes,1,0,0,4,4,11
yes,1,0,6,3,3,13
yes,2,0,8,2,1,10
yes,2,0,0,4,3,15
no,2,0,4,4,4,15
no,2,0,2,1,2,9
no,2,0,2,4,2,16
no,2,0,6,4,4,11
no,1,0,6,1,1,11
no,2,0,4,1,2,9
yes,3,0,2,4,3,9
no,2,0,0,4,3,10
no,2,0,2,4,3,15
no,4,0,4,4,4,12
yes,4,0,4,3,1,6
yes,2,0,2,2,2,8
no,4,0,12,3,1,16
yes,4,0,0,3,1,15
no,4,0,0,4,2,10
no,2,2,2,1,1,5
no,1,0,2,3,1,14
yes,2,0,54,3,3,11
yes,2,0,6,4,3,10
no,4,0,8,4,0,10
yes,4,0,0,2,2,11
no,1,3,2,2,1,10
no,2,0,12,3,4,5
yes,1,0,2,2,3,12
yes,3,0,4,2,3,11
yes,2,0,10,3,2,6
yes,2,0,4,2,2,15
no,2,0,2,1,1,10
yes,2,2,6,4,4,8
no,2,0,4,2,2,6
no,3,0,4,4,2,14
yes,2,1,12,2,2,10
no,2,0,18,4,4,7
yes,3,0,0,3,3,8
yes,1,0,4,4,3,18
no,2,0,4,3,1,6
yes,2,0,0,4,2,10
no,4,0,6,2,2,14
yes,4,1,2,1,1,10
no,1,0,2,4,3,15
yes,2,0,2,2,1,10
no,1,0,6,4,4,14
yes,3,0,0,4,3,8
yes,1,0,14,4,4,5
no,3,0,0,4,4,17
no,1,0,4,4,4,14
yes,2,0,26,3,2,6
yes,2,0,0,3,4,18
no,4,0,10,3,3,11
yes,4,0,8,2,2,8
no,3,0,2,3,3,18
yes,4,0,6,4,4,13
yes,3,0,4,4,4,16
no,1,0,6,4,4,19
no,3,1,0,3,3,10
no,2,1,6,2,2,13
no,1,0,10,4,2,19
no,2,0,8,2,1,9
no,2,0,2,4,4,16
